	lev	line1	line2	val1	val2	val3	r	pr	csr	vr
0	0	В С Е Г О	В С Е Г О	13469105675,8	13367938994,2	13266715842				
1	1	ОБЩЕГОСУДАРСТВЕННЫЕ ВОПРОСЫ	ОБЩЕГОСУДАРСТВЕННЫЕ ВОПРОСЫ	1135594991,1	1080175019,9	1068317775,2	01			
2	2	Функционирование Президента Российской Федерации	Функционирование Президента Российской Федерации	15921115,4	15888403,7	15840929,5	01	01		
3	3	Обеспечение функционирования Президента Российской Федерации и его администрации	Обеспечение функционирования Президента Российской Федерации и его администрации	9521492,5	9580000	9652988,1	01	01	77	
4	4	Президент Российской Федерации	Президент Российской Федерации	91188,8	85260,5	81980,3	01	01	77 1	
5	6	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами)	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами)	14597,2	14611,5	14626,5	01	01	77 1 00 90000	100
6	6	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд)	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд)	76591,6	70649	67353,8	01	01	77 1 00 90000	200
7	4	Администрация Президента Российской Федерации	Администрация Президента Российской Федерации	9430303,7	9494739,5	9571007,8	01	01	77 2	
8	6	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами)	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами)	7653313,3	7698426,9	7745813,4	01	01	77 2 00 90000	100
9	6	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд)	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд)	1776990,4	1796312,6	1825194,4	01	01	77 2 00 90000	200
10	3	Обеспечение деятельности отдельных федеральных государственных органов	Обеспечение деятельности отдельных федеральных государственных органов	6399622,9	6308403,7	6187941,4	01	01	89	
11	4	Обеспечение визитов делегаций высших органов власти за рубеж	Обеспечение визитов делегаций высших органов власти за рубеж	1239480,5	1206401,7	1184700,5	01	01	89 2	
12	6	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами)	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами)	79895,8	79739,2	82666,5	01	01	89 2 00 90000	100
13	6	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд)	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд)	1159584,7	1126662,5	1102034	01	01	89 2 00 90000	200
14	4	Управление делами Президента Российской Федерации	Управление делами Президента Российской Федерации	5160142,4	5102002	5003240,9	01	01	89 9	
